用户id,评论内容
813713549,我特别想吐槽这国产去的蛇呀！:face_with_tears_of_joy:
813713549,没头没尾的，还行吧一点都不和情里
363619233,抖音草根的特效都甩这5条街，真要命，大陆影视永无出头之日，别费劲了
1372420904,垃圾电影，-100分
1724315115,电影纯属瞎胡演，就这几个人也能杀蛇
1351599112,"特别垃圾的一部电影 没有之一
"
1989436442,有第二季吗
2006822568,菜单很意外，哈哈哈哈
1030990899,中国的科幻片刚刚起步，加油吧。
432871818,好哈的特效 这是拍出来洗钱的吗
1166924619,垃圾，没法和大蛇比
1166924619,辣椒，没法和大蛇比
1517425223,看上去太假了
1832928303,看得老子急死人，
1350308053,别人拍的电影，希望主角赢，你这拍的电影，我希望怪物赢。一部电影，猪队友也就算了，一次枪被卡住，另一次开枪的时候卡住了。你这编剧怎么做到的，垃圾的不能再垃圾了
1132182501,一部电视剧弄了这么多蠢货
1400467339,好看
734501220,国产满分作文
1623762421,啥也不是
1132182501,"这里面请的保镖和向导都是:pig_face:
，，向老袁这样的蠢货
"
1103054349,是不被狗女孩？
1249745195,比国内以前的怪兽片确实要好看一点
1418162220,这也能上优酷
1668952763,好假
418715906,跟美剧双头鲨有的一拼
900722524,这个好意思叫电影？
3000749612,一般作死的肯定的让他死
1612807217,这人太笨了，把包扔了不都中了吗？
1035134538,卧槽 ，被骗了
1327626312,什么鬼，又是国产大坑
1301480056,乱片
742179576,不敢恭维
1116934829,也不能要求太多是吧
1362019565,太棒了，能坑一个算一个
1490910125,洗钱用的电影认真你就输了
1468223319,可能，有第二部吧
1919657053,九个头而已，我用反间计
2002465313,乱假
1839922215,宝宝哈哈
1839922215,笨得死[泪][泪]太尴尬了
1091177280,呵呵
2038694802,这情节当所有人都是傻子吗
1091177280,"能上热搜的原因只有三个字，九头蛇，

不好意思全程出来五分钟塑料蛇"
930543750,这么好看的电影不能我一个人看，你们快来啊，国产电影的王者，
1756776465,这是演的啥子哦
1333366490,好好的中国人叫个名字雪梨，听着玄里
1499590763,自作自受（自拍的）电影。
1500942196,蛮好看
2012418341,五毛钱特效没看头！差评！
1235599983,不好看，太假了
831899361,真是服了，那个背包不会取下来吗
1036381752,什么玩意儿？
1455882503,真是什么人都能演戏了
1635801966,妥妥的九号激素
1341121177,没有外国拍的刺激
1455882503,这几个人在拔河比赛吗
1455882503,只要是来看风景的
1146327834,没看到蛇在哪
914262485,降低智商
1327313723,尹俊杰莫名其妙的死了，根本没看到
1893688328,有点脑子行不行 觉得我们智商太低？正常思维呢
1397740865,"太假了，最后那个男的怎么死都不知道，就突然就死了，真是服了，不好看
"
2012059422,看了个寂寞
1958477605,请问那个反派男怎么死的
995745911,笑死我了这部剧 什么鬼啊:pile_of_poo:
1143589369,我就想知道旁边那个人怎么挂掉的 看了两遍都没有看到 那人怎么倒下的 
587678101,最喜欢看的就是这个系列的电影啦
1114366061,感觉被海报骗了！只有最烂！
1359076354,满分好评，能坑一个是一个，
553272255,一点技术水平都没有，现在国产就这点水平了吗！！！
1375248424,你好可爱
618531488,编剧太没逻辑，能严谨点吗？投资少技术不到位，别把剧情编的太2
701979788,我考虑考虑监控默默了
849030237,打卡
1641172567,狗都知道外面危险
1641172567,你凭什么以为你们能抓到我
1710469753,乌拉圭
1310872154,好垃圾的片
2029329762,哎，真的是垃圾
735304133,我真是笑了，太作死了，抓住了还放出来，哈哈
1047223516,太烂了
804006375,瞎鸡蛋演，什么玩意儿，草浪费时间
1454233727,真的是什么辣椒片，只能说国产太垃圾了
1712227968,神剧
1641172567,厉害厉害
1641172567,蛇怎么会发出猛兽的声音
414952907,真的是太坑了，所以没有多少人看呢
1199256383,恐怖片还得林正英那个时代的，现在科技越发达，技术却越来越差，简直可以说毁三观啊，唉不说了…
1243926924,地理了来咯考虑他哦起去他
1609222121,好看
1736361334,这种剧情的我最少看过七八部了，都差不多，也不知道谁模仿谁
1141005014,噶的一批
954853285,我说一下吧，有一说一，这部电影拍的的确是烂。每次各种煽情，剧情还有点尴尬。
1709039250,鬼片，和香港差距真大。变异蛇:snake:拖走居然脸上身上都不脏就鼻子流点血
1029236579,哇，美女
750444726,唉，只能说国产恐怖片又一次深深的伤害了我，每次看完都说以后再也不看了，每次有新片却又不死心的去看。
833545196,各种无脑，人的本能是学到危险就团结对抗，怎么会随意分开
1355178986,不得不说真垃圾，
737035042,年会员[吐舌]
1509528341,严重摩擦智商
1373227880,额，:downcast_face_with_sweat:
1564581577,别看了
1460626475,满分！人不能这么自私！就自己独享！
1564581577,啦机的玩意三分钟看完
392527194,看了很久，2分钟！！！
1452023352,好垃圾   特别是最后这里
797438938,跟风，
784411123,腊鸡的不要不要的
1342660446,蠢啊
1388840560,太好看了！！特效无敌，希望大家推荐给周围人看～
1500942196,蛮好看
826315622,好好看啊
1044859602,没有一点看头，被骗过来了[不高兴]
1785409517,这枪厉害，一点后座都没有
1197312561,不错
1516690915, r[酷]
1608712570,弋江区长沙吗
1608712570,乙醇和他玩意
1608712570,V sign工地方
1702147981,太假了
501404088,打卡了
1570952853, 你们几个人可抓这么大的蛇，吹吧
950857917,太给中国丢脸了
655026769,没看过这么烂的烂片。
1763826860,垃圾分类
970505817,五分钱特效
411834176,还是比不二十年前的狂蟒之灾
837778103,我只能说，，，，，嗯，算了，举报吧
837778103,我靠，这也可以出来祸祸人
1543333995,来啦，来啦
1483659995,那女的是跟着来找死的
1902173561,差评
1255902086,嘚瑟吧，活该
914733882,进深山野林的穿的这么性感？不怕蚊虫叮咬？
1734709009,希望第二部更精彩:writing_hand_medium-light_skin_tone::bouquet::bouquet::bouquet::bouquet::bouquet::bouquet:
1483078713,垃圾电影，浪费我的流量，
1839375671,很差，建议别看
370326364,好看
1994888597,满分
1028830412,这也能排第一，太假了
1515370961,精彩
2056468286,好看嘛
333700201,精神病，一系列的精神病。外国人编这样的剧，本性使然，而中国人编这样的剧就不伦不类了。
1829330977,侮辱智商。
333700201,学外国只是皮毛而已。
803316794,都是刷出来的第一？？？[呵呵]
1227905179,真够无聊垃圾
1436822416,只是包包勾住，手可以拿出来吧？那么明显，到后面才拿出来，处处都是漏洞
1543918798,太狗血了，国产真不能拍出好莱坞的效果和剧情。
1398207905,太次了
1506234025,傻电影
1065066100,没看过这么烂的
1967268690,我看吐了~~~
408705514,垃圾片子，不评论演员，只想说垃圾编剧导演，智商堪忧啊
370326364,好看
2064276786,怎么不免费
2034922502,这片拍的真不错，太必真了
2005888750,蛇特效还凑合。演员和剧情太烂了[ok]
458777919,到底是什么信念的支撑能拍出这种烂片，堪称烂片王中王[吐舌][吐舌][吐舌]
2062218246,咱们中国啥都行，就他妈演技不行，
1414495776,五块钱的特效，操
1645374051,我靠  会员还要看广告
1528338426,自作自受 自以聪明 但是当动物有了智慧以后它还会为你所用你让它杀谁就杀吗 答案明明在自己的心中已经知晓却偏偏不去接受继续装傻 结果就是被杀死
