父评论id,评论id,用户名,评论内容
6587794,7201968,从此心安,,很朴实，很真诚的书评
6587794,7207672,bmj,,谢谢！
-1,8084529,luise92,人的神性,看完好像思想攀爬了一次珠峰，作者在宏观历史哲学与现实微观情节中穿插，读者如果没有点毅力是很难坚持下来的，我基本上是在北京拥挤地铁上完成这漫长的精神之旅，期间不断被其它书籍勾引，最终还是被经典挽留。不想成为剧透的人。感受就是：现实世界是悲惨的，被基督照亮的精神是快乐的，真正的自由是从心所欲不逾矩。
-1,8088095,雪碧醋黄瓜,无,这本书据称是悲惨世界的轻阅读版，很短的篇幅，但是故事却是交代清楚来了的。虽然如此，但是在这么短的篇幅中根本就很难有很深的感受。不过这个故事中的很多人物都很吸引我，冉阿让，骗子姑娘···应该说每个好的坏的人物都吸引着我，我已迫不及待的去看完整版本了。
-1,8117154,Miss633,致敬经典,见过蠢昧无知的愚信教徒， <br>看过眼泛精光的佯装祈祷， <br>对各路神明虽有敬畏之心，却无信仰之意。 <br>两个月之久终于把这部《悲惨世界（上）》粗浅翻阅完成。 <br>“控制欲望，崇敬无极……使信仰健康起来”这段话终于让漂泊的心有了些许着落。 <br>世事纷杂，给自己在内心深处找寻创建一个健康的信仰伴之前行方不孤单。 <br>看过一些所谓的畅销书，全然噱头之作，了无生趣。<br>这部于1862年由法国大作家维克多·雨果发表的长篇小说《悲惨世界》如今看来仍确震撼不已。<br>而看似生在新时代21世纪的我，在如此经典面前，则太显稚嫩。字里行间掷地有声，声声入心，<br>不免觉得自己才是旧时代不经人事的新生儿。 <br>勿，随波逐流，人云亦云； <br>定，敬畏本真，安循本真。
-1,1387577,[已注销],虔诚的悲惨,&nbsp;&nbsp;&nbsp;去年生日的时侯，朋友送我一套人民文学出版社的《悲惨世界》，他说你一定要好好看，看完我们要好好讨论啊，今年寒假的时侯，我扛着三本巨头回家了，每天晚上睡觉之前看书是我的老习惯，我用了大约25的晚上看完了这部著作。<br>&nbsp;&nbsp;&nbsp;&nbsp;看完给朋友发信息，发了“谢谢，人生能读一部如此好书，值！”“今天，一八六一年六月三十日，上午八时半，当一轮红日挂上我的窗扉时，我写完了《悲惨世界》。”雨果很平静的写下这段话时，心中却是波涛汹涌啊，终于倾尽所有，把本世纪的三个问题——贫穷使男子潦倒，饥饿使妇女堕落，黑暗使儿童羸弱，阐述的较为清楚，但在文明鼎盛时期人为地把人间变成地狱并使人类与生俱来的幸运遭受不可避免的祸难，冉阿让，芳汀，主教等，从她们身上我都可以看出那种虔诚的悲惨，主教，是善良的，也许你会感觉他应该没什么悲惨的吧，错了，他是嘴悲惨的，因为他是主教，是上帝派来拯救人类的悲惨灵魂的，也许他做的已经很多啦，但在他死后，仍然有许多人继续悲惨着，就像地藏菩萨一样，“地狱不空，我不成佛，”但主教最终还是匆匆的死去，带着浓浓的悲惨。<br>&nbsp;&nbsp;&nbsp;&nbsp;冉阿让，无疑可以看成是在这悲惨世界的主角，他的每一个细节都是悲惨的，他为什么会入狱，仅仅因为饥饿，偷了数块面包等物，可笑的是还被判为苦役犯，他被莫名其妙的命运折磨的“变态”，怀有报复社会的思想，怀疑，鄙视，一切；终于熬出来了，因为那张苦役犯的蓝壳身份证，让所有的旅馆据他于门外，甚至连牲畜都排斥他，鄙视他，他成了社会多余的一员，那晚，在主教家，他的善心与信心被主教唤醒了，他通过自己的努力，成了慈悲比马德兰先生，他尽力按照主教教他的善待人，他给了小城生机，给了穷人工作和粮食，他给乞讨者法郎、、、、、、他做的太多太多，但悲惨的转变就在，商马第事件，由于他善良的良知，又一次被这世界的悲惨所利用，逃亡与助人，拯救，最后又悲惨不舍的死去，感觉世界对他太不公，没理由的，他的付出等于零，他的丁点小罪却被永烙，为什么？？？<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;芳汀，一个悲惨的女人，被无情的命运给戏弄着，她甚至付出了所有，生命，青春，贞洁，所有爱，亲情，肉体、、、背后被悲惨的命运活活的折磨疯，直至死，还孤独的悲惨着、、、<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;只言片语不能够表达我的激愤，悲惨，貌似喜欢欺负对生活虔诚热爱的好人，世间有太多的东西莫名其妙，无可解释，悲惨、、、、
-1,5662407,寒塘鹤影,应当买下一本珍藏,无论是男主角高尚的道德以及过人的才智，还是作家对当时社会宗教、道德、法律的检视， 抑或对法国历史不厌其烦的细致描绘，都给人留下不可磨灭的印象。<br><br>无论是男主角高尚的道德以及过人的才智，还是作家对宗教、道德、法律的检视， 抑或对法国历史不厌其烦的细致描绘，都给人留下不可磨灭的印象。
-1,3648756,lumiere,一开始有点厌恶的感觉，因为这本书实实在在摄住了我的心，然而掩卷之时不自觉热泪盈眶。,<br>本人对于惨剧的接受能力一向很差，心情波动是比较不愉快的一件事。然而本书做到了极致。<br><br>本书中出现的近似所有人物都是悲惨结局，除却获得爱情的两位及马里于斯的亲人。<br><br>最可爱的人包括，小加弗罗什的结局都太过悲惨了。<br><br>可以看出作者对爱情，亲切，正义，嫉妒，仇恨，卑鄙的描述变现了他对人性完美而深刻的把握，让人伤感的同时不禁啧啧称奇，赞叹不已，感触良多。
-1,8844978,甜甜,天使,"<p> 天使，他是一个高尚的人;
 天使，是一个有爱的人;
 天使，是一个有着圣洁灵魂的人;
 天使，是一个人人尊敬的人;
 天使，是一个能感化他人的;
 天使,是一个传递爱能量的人。
      巜悲惨世界》里的卞福汝主教，便是人间的天使。
       卞福汝主教，一个为别人做的多，却为自己想的少的天使。他把自己的钱的百分之九十都用来救济穷人，自己家三人一年只有一千五百法郞，哪怕精打细算也只能勉强填饱肚子。而他自己，却用圣洁的灵魂，诗歌般动听的语言，为一个又一个残缺的灵魂洗礼，给予温暖和慰藉，将那无私的爱传递下去。正是他的爱，让冉阿让的灵魂获得重生。
      &quot;您现在已不是恶人了，您跟善良的人们在一起。我赎了您的灵魂，把它从黑暗的思想和自暴自弃的精神中解救出来，交换给上帝了。&quot;
       这句话，就像一句有魔力的咒语，一次又一次地在冉阿让的心中回荡。冉阿让的心，从僵硬慢慢被软化。他洗心革面，改过自新，通过自己的努力从&quot;马德兰老爹&quot;成为&quot;马德兰先生&quot;，最后被恭敬地称为&quot;马德兰市长&quot;。
       卞福汝主教所传递的爱究竟是什么呢？是赦免，是饶恕，是接纳。他让冉阿让第一次体会到什么叫&quot;恩典&quot;，冉阿让也因蒙恩而重生，将恩典的爱传递给身边的人，像天使一样，怜爱着每一个人。
       冉阿让像小偷一样溜进一户户穷人的家，却留下一枚枚金币;
       冉阿让的工厂获得巨大的成功，他却将利润捐给整个小城;
       当苦难接踵而至，律法的绳索将他捆绑时，他却始终以爱相抵。
      他不止一次地询问自己的灵魂，内心的交集，忧愁千丝万缕。当他选择独自承担一切悲伤和痛苦，他的灵魂却一次又一次升华。
       一个人有了爱，就会不由自主地去奉献自己，而只有巴不得把自己的一切都奉献出来，获得了所有人的尊重，才会有永恒，圣洁的灵魂，成为一位美丽的天使。
       这就是爱的魔法，爱能让人成为天使，爱能永恒地传递下去。
       这爱的传递者，就是天使。从巜悲惨世界》走出，仰望蓝r天，你会发现，有这圣洁灵魂的天使，裂天而降，把爱洒向人间，把爱的种子播种在每个人的心田......


</p>"
-1,8493570,喵了个咪的,《悲惨世界》    法国的镜子,"<p>我相信大家小时候都学过这样一篇文章，是《悲惨世界》马上要出版时发生的一件事。是件雨果与出版社老板的一封信。“  ？”与“  ！”之间的故事，没有忘掉吧。学完这篇文章后，我一直会去想，会去构思这本书的内容是什么。直到前几天，我的心灵才有了一个答案。
这是一本好书，一个很好的书。雨果指出当时法国的存在的恐惧、不安、忐忑等等不好时心里反应。让人们了解笼罩法国当时的那种令人不寒而栗的可怖气氛。
雨果用精美的描写手段毫无保留的诉说出的法国人民内心深处藏着的心里话。它相当于法国的镜子，照映着它的丑陋，指给人们看。</p>"
